headerdatestamp|headeridentifier|headersetSpec|metadata.mods.genre#text|metadata.mods.genre@authority|metadata.mods.identifier#text|metadata.mods.identifier@type|metadata.mods.language.languageTerm#text|metadata.mods.language.languageTerm@type|metadata.mods.location.url.0#text|metadata.mods.location.url.0@access|metadata.mods.location.url.0@usage|metadata.mods.location.url.1#text|metadata.mods.location.url.1@access|metadata.mods.note.0|metadata.mods.note.1|metadata.mods.note.2|metadata.mods.originInfo.0publisher|metadata.mods.originInfo.1dateOther|metadata.mods.originInfopublisher|metadata.mods.relatedItem.titleInfotitle|metadata.mods.relatedItem@type|metadata.mods.subjecttopic|metadata.mods.titleInfotitle|metadata.mods@version|metadata.mods@xmlns|metadata.mods@xmlns:xlink|metadata.mods@xmlns:xsi|metadata.mods@xsi:schemaLocation|metadata.modsaccessCondition|metadata.modstypeOfResource
2018-11-28T19:02:36Z|mugwump_1031|mugwump|text|dct|mugwump_vol5-iss7|local|Eng|text|https://digital.lib.utk.edu/collections/islandora/object/mugwump%3A1031|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/mugwump%3A1031/datastream/TN/view|preview|1950- C. G. Maynatt and others.|University of Tennessee (Knoxville campus)|Publications by students|The University of Tennessee Libraries, Knoxville|1925-05|    |The University of Tennessee Libraries, Special Collections, Knoxville|original|American wit and humor -- Periodicals.|Mugwump|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|text
2018-11-28T19:02:36Z|mugwump_1064|mugwump|text|dct|mugwump_vol5-iss6|local|Eng|text|https://digital.lib.utk.edu/collections/islandora/object/mugwump%3A1064|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/mugwump%3A1064/datastream/TN/view|preview|1949- C. G. Maynatt and others.|University of Tennessee (Knoxville campus)|Publications by students|The University of Tennessee Libraries, Knoxville|1925-04|    |The University of Tennessee Libraries, Special Collections, Knoxville|original|American wit and humor -- Periodicals.|Mugwump|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|text
2018-11-28T19:02:36Z|mugwump_1097|mugwump|text|dct|mugwump_vol5-iss5|local|Eng|text|https://digital.lib.utk.edu/collections/islandora/object/mugwump%3A1097|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/mugwump%3A1097/datastream/TN/view|preview|1948- C. G. Maynatt and others.|University of Tennessee (Knoxville campus)|Publications by students|The University of Tennessee Libraries, Knoxville|1925-03|    |The University of Tennessee Libraries, Special Collections, Knoxville|original|American wit and humor -- Periodicals.|Mugwump|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|text
2018-11-28T19:02:36Z|mugwump_112|mugwump|text|dct|mugwump_vol1-iss5|local|Eng|text|https://digital.lib.utk.edu/collections/islandora/object/mugwump%3A112|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/mugwump%3A112/datastream/TN/view|preview|1927- C. G. Maynatt and others.|University of Tennessee (Knoxville campus)|Publications by students|The University of Tennessee Libraries, Knoxville|1921-02-28|    |The University of Tennessee Libraries, Special Collections, Knoxville|original|American wit and humor -- Periodicals.|Mugwump|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Public domain|text
2018-11-28T19:02:36Z|mugwump_1132|mugwump|text|dct|mugwump_vol5-iss4|local|Eng|text|https://digital.lib.utk.edu/collections/islandora/object/mugwump%3A1132|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/mugwump%3A1132/datastream/TN/view|preview|1947- C. G. Maynatt and others.|University of Tennessee (Knoxville campus)|Publications by students|The University of Tennessee Libraries, Knoxville|1925-01|    |The University of Tennessee Libraries, Special Collections, Knoxville|original|American wit and humor -- Periodicals.|Mugwump|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|text
2018-11-28T19:02:36Z|mugwump_1165|mugwump|text|dct|mugwump_vol5-iss3|local|Eng|text|https://digital.lib.utk.edu/collections/islandora/object/mugwump%3A1165|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/mugwump%3A1165/datastream/TN/view|preview|1946- C. G. Maynatt and others.|University of Tennessee (Knoxville campus)|Publications by students|The University of Tennessee Libraries, Knoxville|1924-12|    |The University of Tennessee Libraries, Special Collections, Knoxville|original|American wit and humor -- Periodicals.|Mugwump|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|text
2018-11-28T19:02:36Z|mugwump_1198|mugwump|text|dct|mugwump_vol5-iss2|local|Eng|text|https://digital.lib.utk.edu/collections/islandora/object/mugwump%3A1198|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/mugwump%3A1198/datastream/TN/view|preview|1947- C. G. Maynatt and others.|University of Tennessee (Knoxville campus)|Publications by students|The University of Tennessee Libraries, Knoxville|1924-10|    |The University of Tennessee Libraries, Special Collections, Knoxville|original|American wit and humor -- Periodicals.|Mugwump|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|text
2018-11-28T19:02:36Z|mugwump_1231|mugwump|text|dct|mugwump_vol5-iss1|local|Eng|text|https://digital.lib.utk.edu/collections/islandora/object/mugwump%3A1231|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/mugwump%3A1231/datastream/TN/view|preview|1951- C. G. Maynatt and others.|University of Tennessee (Knoxville campus)|Publications by students|The University of Tennessee Libraries, Knoxville|1924-10|    |The University of Tennessee Libraries, Special Collections, Knoxville|original|American wit and humor -- Periodicals.|Mugwump|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|text
2018-11-28T19:02:36Z|mugwump_1264|mugwump|text|dct|mugwump_vol6-iss8|local|Eng|text|https://digital.lib.utk.edu/collections/islandora/object/mugwump%3A1264|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/mugwump%3A1264/datastream/TN/view|preview|1929- C. G. Maynatt and others.|University of Tennessee (Knoxville campus)|Publications by students|The University of Tennessee Libraries, Knoxville|1926-05|    |The University of Tennessee Libraries, Special Collections, Knoxville|original|American wit and humor -- Periodicals.|Mugwump|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|text
2018-11-28T19:02:36Z|mugwump_1341|mugwump|text|dct|mugwump_vol6-iss7|local|Eng|text|https://digital.lib.utk.edu/collections/islandora/object/mugwump%3A1341|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/mugwump%3A1341/datastream/TN/view|preview|1928- C. G. Maynatt and others.|University of Tennessee (Knoxville campus)|Publications by students|The University of Tennessee Libraries, Knoxville|1926-04|    |The University of Tennessee Libraries, Special Collections, Knoxville|original|American wit and humor -- Periodicals.|Mugwump|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|text
